trial,state,mae_mean,mae_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_max_depth
144,PRUNED,0.5906775693834467,,2200,0.013885291283064287,37,5,0.5002889457213615,0.4735528043770302,0.020938897466069938,0.00028493408326221904,10
145,COMPLETE,0.4901597472188925,0.06776995575342593,2300,0.016614289586348474,34,11,0.8149593609134176,0.6060932714909231,2.4960492100126337,2.766335552192138e-05,10
146,PRUNED,0.5897263733743776,,2300,0.01710331263899127,58,8,0.8386818427547167,0.6005240743322915,2.6642985013434632,2.9981265553915357e-05,10
147,COMPLETE,0.4878145765750821,0.06624788360717665,2500,0.016452654686664257,34,11,0.7962471535800276,0.5511788450323655,1.7444341812106403,6.629687441311049e-05,10
148,PRUNED,0.5772408454373513,,2500,0.016264826789045467,40,11,0.826264038053242,0.551604340960105,1.923484765235073,0.0015900180881703242,10
149,COMPLETE,0.4905103243595105,0.06333589686515495,2400,0.015485240881053186,39,10,0.8145725870573324,0.501959716016624,1.6482676849557496,0.00011818034621160222,10
150,COMPLETE,0.48687947629259476,0.0690727165386244,1100,0.01847756742780115,32,9,0.8015921623224491,0.5271626389782798,2.204063604633268,5.313026366788418e-05,10
151,PRUNED,0.4922739465618203,,2600,0.01902191024703024,31,12,0.805148548854718,0.5284398052278679,3.4139066547293795,4.889736509921992e-05,10
152,COMPLETE,0.49079706425298636,0.06571191915764912,1100,0.016707824807805464,34,9,0.7969548403948378,0.5034699120772494,2.3182875316877105,6.977469072532446e-05,10
153,PRUNED,0.5189766600626261,,900,0.015267170459218951,32,11,0.7905758435307002,0.5481561998451279,1.4067582466798312,0.00018437303064763552,10
154,COMPLETE,0.48905009214353834,0.06485396018716906,2400,0.017939324681079824,35,13,0.8209600218778295,0.573989459610607,4.228995974907013,0.0004936297337938393,10
155,PRUNED,0.5165554169621077,,2500,0.018494951013792095,36,13,0.8137234764693534,0.5623760853849615,7.726117077504058,0.00043401912601452293,10
156,PRUNED,0.5868024431741655,,2400,0.01999150731164607,38,6,0.8247652336107569,0.5859642249353174,4.473820877231428,8.580698851141908e-05,10
157,PRUNED,0.5781401833562712,,2600,0.017988153903278938,33,9,0.8455779108502034,0.5072038939226917,5.734209087978093,4.0999435641459164e-05,10
158,PRUNED,0.5948335110327456,,2300,0.021777933525345867,36,7,0.8641481839466708,0.5824010114414649,2.3870758311438167,0.0002441596190954406,10
159,COMPLETE,0.4860857204710577,0.0665132730565853,2300,0.02399611374957375,35,12,0.7828023340667056,0.6398349637975154,3.536863762818708,0.00014687496083060436,10
160,PRUNED,0.7196267618600991,,2300,0.01636603088014139,30,44,0.5448094304738045,0.6331900246969251,10.071011934086417,0.00014030847380143205,10
161,COMPLETE,0.48780417604771414,0.05722697314523155,2500,0.022611445288153904,34,12,0.779788170631402,0.5147803615895704,4.042698634978988,5.3314293963493025e-05,10
162,PRUNED,0.5729228417632701,,2500,0.023248644407097847,35,15,0.7793226194198426,0.6080014014491903,2.9604680981077176,5.78833723408488e-05,10
163,COMPLETE,0.4881830517106597,0.06526453719562002,2400,0.01977584932305755,34,13,0.7682626178943822,0.6305855394322596,3.900020808004099,0.00011128519170478502,10
164,PRUNED,0.5534641202521529,,2600,0.020152369071289335,32,14,0.7672630744132951,0.514244533707282,4.239632261404749,0.0007311878383821245,10
165,COMPLETE,0.4884983812510127,0.06392219484475299,2400,0.025576569327945834,35,13,0.7787539445922282,0.5382808142750477,3.9958087418818846,9.883886525347471e-05,10
166,PRUNED,0.5756777862852338,,2400,0.024974627738890167,34,17,0.7827096561693052,0.5372698218977703,6.498339358723336,0.0001220435431549692,10
167,PRUNED,0.5780436572151019,,2500,0.1949552699243357,36,15,0.7702064422454923,0.6425704443347011,4.279541972035603,0.0002863607138430441,10
168,PRUNED,0.5986058644035889,,2400,0.02696782165969155,33,13,0.7571440569711593,0.4910925470844755,3.4657784232346738,0.0001771006875943749,10
169,PRUNED,0.4951182778695615,,2600,0.02233235083370624,35,13,0.8049881390248481,0.5770970472759067,5.562376651548696,0.00042551324331320425,10
170,PRUNED,0.5847006914419367,,1000,0.033085318119051174,29,12,0.7910346492724857,0.6763451827680921,3.4597778425040575,8.50623868323885e-05,10
171,PRUNED,0.6025668763535059,,2400,0.029567850325558344,37,5,0.5335365448983775,0.5171330866150359,1.8644373763063062,9.58744495487222e-05,10
172,PRUNED,0.5848704597147522,,2800,0.018996682580712167,38,8,0.518517351846662,0.5490936618625716,2.11137187239161,0.00015415037823563965,6
173,PRUNED,0.6730490980483291,,2500,0.020956820408364423,33,52,0.7792467123760976,0.539095004801391,2.8713005717432964,6.249492311490566e-05,10
174,PRUNED,0.568650369962329,,2400,0.025272308549062827,8,16,0.7665665579642656,0.4940087632391144,1.0048404552405223,3.601944239853381e-05,3
175,PRUNED,0.6053879726216225,,1000,0.017560081407057504,35,19,0.5521801632343578,0.5607006248434153,4.147759711892177,0.0002149883763953827,10
176,PRUNED,0.5168863042279733,,2200,0.014703850177279869,37,12,0.7887372838030612,0.7052858507126946,1.4985616606716536,5.490491243482283e-05,10
177,PRUNED,0.6064240752060104,,2700,0.013114062290104754,31,14,0.5584993518513038,0.5709427743850312,8.03538753150649,0.0001043778466319622,6
178,PRUNED,0.5815708608599707,,2300,0.023370718620992163,31,6,0.5306678636113028,0.5233568840881955,4.862180079512081,2.4536180172099364e-05,5
